protein,calories,diet_type,dietary_restrictions,allergy_note,goal,session_minutes,fitness_level,activity_level,current_weight,target_calories,weeks,avg_daily_steps,bmi,resting_heart_rate,weekly_workouts,diet_quality,meal_recommendation,workout_recommendation,fitness_level_class,predicted_weight,workout_exercises,meal_highlights,fitness_guidance
43.51,325.66,non_veg,none,,maintenance,33,intermediate,moderate,99.65,1746.67,4,14223.97,34.36,68.36,12,average,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,99.69,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
53.64,265.58,non_veg,none,,fat_loss,74,beginner,moderate,102.57,2371.27,13,14417.1,29.75,87.62,12,good,Turkey Lettuce Wrap,HIIT Starter Circuit,intermediate,103.15,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Low-calorie turkey wraps with crunchy lettuce.,Use progressive overload and mix strength with conditioning.
37.38,719.07,veg,lactose_intolerance,,muscle,35,beginner,low,106.05,2668.66,14,11656.07,23.68,91.9,3,average,Dairy-Free Protein Bowl,Full Body Strength Basics,beginner,106.4,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Lactose-safe protein meal without milk products.,"Focus on form, 3 sessions/week, and progressive consistency."
20.81,520.86,non_veg,none,,fat_loss,45,intermediate,moderate,60.76,2589.35,3,16898.14,34.19,74.82,6,average,Grilled Fish Salad,Metabolic Conditioning,beginner,61.14,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
26.2,308.49,non_veg,egg_allergy,,maintenance,76,advanced,moderate,79.45,3152.89,11,3685.31,33.28,85.41,8,good,Turkey Rice Bowl,Hybrid Endurance Strength,intermediate,81.85,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
12.69,469.47,non_veg,none,,maintenance,49,intermediate,moderate,83.46,1811.52,6,14736.63,17.68,85.31,8,good,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,82.58,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
26.02,565.11,veg,gluten_intolerance|lactose_intolerance,,muscle,47,intermediate,low,93.2,2409.04,5,13616.63,23.01,76.0,0,poor,Dairy-Free Protein Bowl,Upper Lower Strength Split,beginner,93.27,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lactose-safe protein meal without milk products.,"Focus on form, 3 sessions/week, and progressive consistency."
26.57,449.05,non_veg,none,,fat_loss,37,beginner,high,89.07,3142.67,19,16550.99,25.37,93.07,11,good,Grilled Fish Salad,Sprint Interval Circuit,advanced,87.86,Treadmill Sprint|Walking Recovery|Jump Squats|Push-Up to T Rotation|Plank Knee Drive,Omega-rich fish with fresh vegetables and olive oil.,"Periodize training, recover well, and target performance blocks."
52.12,446.83,non_veg,none,,muscle,41,intermediate,moderate,84.31,1809.85,21,13844.28,32.9,74.21,2,average,High-Protein Grilled Chicken,Upper Lower Strength Split,beginner,82.57,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
22.05,524.35,non_veg,egg_allergy,,fat_loss,88,intermediate,low,95.29,1418.25,18,14624.82,19.53,64.79,0,good,Grilled Fish Salad,Metabolic Conditioning,beginner,93.56,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
34.23,653.38,non_veg,none,,fat_loss,89,intermediate,low,104.2,2608.58,20,6583.71,33.5,92.66,12,average,Grilled Fish Salad,Metabolic Conditioning,beginner,106.84,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
32.17,627.57,veg,none,,fat_loss,73,intermediate,moderate,66.13,2877.55,9,14862.55,20.82,64.7,1,average,Lentil Greens Salad,Metabolic Conditioning,intermediate,66.68,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
43.66,578.07,non_veg,none,,fat_loss,38,intermediate,moderate,57.72,1716.82,3,3580.42,24.78,79.92,3,poor,Grilled Fish Salad,Metabolic Conditioning,beginner,57.87,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
44.1,785.48,veg,egg_allergy|gluten_intolerance,,fat_loss,37,intermediate,moderate,98.63,2514.13,23,14414.04,23.14,71.65,2,average,Quinoa Vegetable Plate,Metabolic Conditioning,beginner,97.85,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Gluten-aware quinoa plate with seasonal vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
49.33,534.93,non_veg,none,,maintenance,73,intermediate,moderate,110.27,2689.04,21,14363.33,25.69,64.89,9,good,Turkey Rice Bowl,Strength and Cardio Mix,advanced,110.39,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,"Periodize training, recover well, and target performance blocks."
19.19,359.34,veg,none,,maintenance,33,beginner,moderate,97.65,1684.09,17,16276.39,23.4,84.96,1,good,Veggie Brown Rice Plate,Mobility and Core Flow,beginner,95.0,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,"Focus on form, 3 sessions/week, and progressive consistency."
39.51,825.07,non_veg,none,,fat_loss,38,intermediate,moderate,100.79,3087.71,7,16199.25,35.22,87.01,11,good,Grilled Fish Salad,Metabolic Conditioning,intermediate,100.93,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
29.51,466.28,veg,none,,muscle,53,advanced,low,52.26,2698.51,21,14872.88,22.05,63.81,9,poor,Tofu Power Bowl,Push Pull Legs Intense,intermediate,53.49,Barbell Back Squat|Bench Press|Bent-Over Row|Overhead Press|Conventional Deadlift,"Balanced tofu bowl with quinoa, greens, and seeds.",Use progressive overload and mix strength with conditioning.
52.98,475.82,non_veg,none,,muscle,30,beginner,high,96.91,2900.24,4,2594.38,33.25,88.77,0,good,High-Protein Grilled Chicken,Full Body Strength Basics,beginner,96.99,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
23.12,264.81,veg,none,,fat_loss,65,beginner,low,93.7,2985.48,10,7361.6,34.91,62.67,3,poor,Low-Cal Veg Soup,HIIT Starter Circuit,beginner,95.57,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Low-calorie vegetable soup for fat-loss support.,"Focus on form, 3 sessions/week, and progressive consistency."
15.58,416.04,veg,gluten_intolerance,,muscle,64,intermediate,low,66.57,3160.43,6,4751.67,25.62,81.81,1,good,Quinoa Vegetable Plate,Upper Lower Strength Split,beginner,68.14,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Gluten-aware quinoa plate with seasonal vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
47.21,526.99,non_veg,none,,fat_loss,22,beginner,low,111.62,2423.11,14,14008.56,26.02,81.11,11,average,Grilled Fish Salad,Express Bodyweight Burner,intermediate,112.39,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
32.32,280.41,veg,none,,maintenance,44,advanced,moderate,89.83,2598.54,7,14408.94,17.68,77.33,5,good,Veggie Brown Rice Plate,Hybrid Endurance Strength,intermediate,89.37,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
37.1,807.13,non_veg,lactose_intolerance,,fat_loss,83,intermediate,moderate,90.04,2602.64,20,3583.61,35.21,48.47,11,good,Grilled Fish Salad,Metabolic Conditioning,intermediate,91.16,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
39.2,712.14,veg,none,,fat_loss,55,intermediate,moderate,108.75,1956.51,7,2708.44,18.57,52.61,4,average,Lentil Greens Salad,Metabolic Conditioning,intermediate,109.07,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
25.23,611.47,veg,lactose_intolerance,,fat_loss,60,intermediate,moderate,106.07,1479.95,22,10808.46,19.82,63.37,1,poor,Lentil Greens Salad,Metabolic Conditioning,beginner,102.6,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
51.8,436.63,non_veg,none,,muscle,78,advanced,moderate,79.42,1843.42,21,2828.15,32.12,57.92,0,average,High-Protein Grilled Chicken,Volume Hypertrophy Session,beginner,79.4,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
19.0,695.36,veg,none,,muscle,23,beginner,moderate,55.27,1382.36,7,13427.68,27.48,62.81,4,average,Tofu Power Bowl,Express Bodyweight Burner,intermediate,54.68,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,"Balanced tofu bowl with quinoa, greens, and seeds.",Use progressive overload and mix strength with conditioning.
13.19,629.02,non_veg,none,,fat_loss,61,beginner,moderate,116.34,3166.81,19,3998.55,26.02,67.9,3,average,Grilled Fish Salad,HIIT Starter Circuit,beginner,119.93,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
35.22,643.0,veg,shellfish_allergy,,fat_loss,52,intermediate,low,108.71,1624.9,5,5191.22,20.89,84.19,10,poor,Lentil Greens Salad,Metabolic Conditioning,beginner,108.28,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
18.83,516.96,veg,none,,muscle,36,advanced,moderate,106.12,2926.74,4,9068.06,25.69,48.78,12,poor,Tofu Power Bowl,Push Pull Legs Intense,intermediate,106.18,Barbell Back Squat|Bench Press|Bent-Over Row|Overhead Press|Conventional Deadlift,"Balanced tofu bowl with quinoa, greens, and seeds.",Use progressive overload and mix strength with conditioning.
38.41,854.56,veg,none,,fat_loss,26,intermediate,low,99.28,3081.32,12,6942.48,22.82,53.26,10,average,Lentil Greens Salad,Metabolic Conditioning,intermediate,101.55,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
31.71,553.28,veg,soy_allergy,,maintenance,75,intermediate,moderate,116.67,2933.76,17,7625.42,32.48,80.45,8,good,Veggie Brown Rice Plate,Strength and Cardio Mix,intermediate,118.23,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
21.75,433.73,non_veg,none,,fat_loss,86,beginner,low,95.21,1998.25,3,13353.5,26.77,66.14,5,good,Grilled Fish Salad,HIIT Starter Circuit,intermediate,95.21,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
34.72,533.87,veg,egg_allergy,,maintenance,39,beginner,moderate,64.99,2303.93,16,12942.95,29.02,53.9,11,average,Chickpea Spinach Stir Fry,Mobility and Core Flow,intermediate,64.7,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Plant-protein chickpeas with sauteed spinach.,Use progressive overload and mix strength with conditioning.
29.31,414.14,non_veg,lactose_intolerance,,maintenance,43,intermediate,low,104.55,2355.0,19,7775.64,24.89,89.18,12,average,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,106.96,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
39.74,728.43,veg,egg_allergy,,muscle,74,beginner,moderate,84.19,2037.62,15,10173.07,24.66,63.49,9,average,Chickpea Spinach Stir Fry,Full Body Strength Basics,intermediate,83.2,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Plant-protein chickpeas with sauteed spinach.,Use progressive overload and mix strength with conditioning.
22.97,271.1,veg,none,,muscle,89,intermediate,high,116.05,2655.32,17,7661.09,19.79,74.8,4,average,Tofu Power Bowl,Volume Hypertrophy Session,intermediate,115.68,Leg Press|Incline Dumbbell Press|Chest-Supported Row|Seated Leg Curl|Cable Lateral Raise,"Balanced tofu bowl with quinoa, greens, and seeds.",Use progressive overload and mix strength with conditioning.
16.98,764.69,non_veg,lactose_intolerance,,maintenance,38,intermediate,moderate,90.66,2048.63,5,4932.8,26.8,93.7,0,average,Turkey Rice Bowl,Strength and Cardio Mix,beginner,89.99,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
28.85,482.04,veg,lactose_intolerance|shellfish_allergy,,maintenance,51,advanced,high,62.62,2651.58,3,3033.28,24.09,59.3,2,average,Veggie Brown Rice Plate,Hybrid Endurance Strength,intermediate,63.27,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
16.78,459.05,veg,none,,fat_loss,83,intermediate,high,89.85,2197.3,22,4062.8,18.12,67.0,8,average,Lentil Greens Salad,Sprint Interval Circuit,advanced,89.17,Treadmill Sprint|Walking Recovery|Jump Squats|Push-Up to T Rotation|Plank Knee Drive,High-fiber lentils with leafy greens and lemon dressing.,"Periodize training, recover well, and target performance blocks."
44.62,291.84,non_veg,lactose_intolerance,,fat_loss,66,beginner,moderate,77.23,2395.69,10,11450.53,19.25,55.29,5,average,Turkey Lettuce Wrap,HIIT Starter Circuit,intermediate,76.63,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Low-calorie turkey wraps with crunchy lettuce.,Use progressive overload and mix strength with conditioning.
16.63,302.35,non_veg,none,,muscle,31,intermediate,moderate,82.31,2693.76,7,10116.09,33.44,71.08,9,poor,Chicken Quinoa Plate,Upper Lower Strength Split,beginner,83.23,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
36.98,654.85,non_veg,shellfish_allergy|soy_allergy,,maintenance,21,beginner,low,61.82,2469.54,7,5364.91,33.48,74.69,7,poor,Lean Chicken Veg Plate,Express Bodyweight Burner,beginner,63.2,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,Shellfish-free lean chicken and vegetable plate.,"Focus on form, 3 sessions/week, and progressive consistency."
26.96,813.84,veg,none,,muscle,68,beginner,moderate,97.75,2316.87,2,15531.65,34.87,72.82,1,average,Tofu Power Bowl,Full Body Strength Basics,beginner,97.02,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,"Balanced tofu bowl with quinoa, greens, and seeds.","Focus on form, 3 sessions/week, and progressive consistency."
39.65,663.4,veg,none,,fat_loss,64,intermediate,moderate,51.16,2440.45,15,15835.28,24.75,75.21,1,average,Lentil Greens Salad,Metabolic Conditioning,beginner,50.21,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
53.43,432.67,veg,none,,fat_loss,80,beginner,moderate,98.28,1942.37,22,11637.26,18.05,92.26,11,poor,Lentil Greens Salad,HIIT Starter Circuit,beginner,96.4,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,High-fiber lentils with leafy greens and lemon dressing.,"Focus on form, 3 sessions/week, and progressive consistency."
13.21,405.0,non_veg,none,,fat_loss,62,beginner,low,75.32,1810.12,24,8418.54,31.55,69.77,9,average,Grilled Fish Salad,HIIT Starter Circuit,beginner,75.33,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,"Focus on form, 3 sessions/week, and progressive consistency."
32.81,293.04,non_veg,none,,fat_loss,65,intermediate,moderate,96.28,2048.56,15,11423.44,25.44,57.25,6,good,Turkey Lettuce Wrap,Metabolic Conditioning,intermediate,95.42,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Low-calorie turkey wraps with crunchy lettuce.,Use progressive overload and mix strength with conditioning.
44.77,403.74,non_veg,none,,fat_loss,54,intermediate,moderate,61.39,1623.04,15,11599.32,24.16,84.35,7,average,Grilled Fish Salad,Metabolic Conditioning,intermediate,60.15,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
30.69,807.22,non_veg,egg_allergy,,maintenance,46,intermediate,moderate,89.83,1842.29,23,12985.73,25.53,93.01,3,poor,Turkey Rice Bowl,Strength and Cardio Mix,beginner,87.17,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
32.81,842.57,veg,gluten_intolerance|nut_allergy,,muscle,55,beginner,high,55.79,2862.18,15,6811.22,27.63,85.8,6,average,Quinoa Vegetable Plate,Full Body Strength Basics,intermediate,55.81,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,Gluten-aware quinoa plate with seasonal vegetables.,Use progressive overload and mix strength with conditioning.
42.17,381.76,non_veg,soy_allergy,,maintenance,27,advanced,high,85.35,1898.13,24,9098.91,23.77,77.41,10,average,Turkey Rice Bowl,Hybrid Endurance Strength,advanced,82.33,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Lean turkey with rice and roasted vegetables.,"Periodize training, recover well, and target performance blocks."
49.96,291.75,non_veg,nut_allergy,,muscle,24,beginner,moderate,74.04,1564.35,5,6947.61,18.15,50.07,8,good,High-Protein Grilled Chicken,Express Bodyweight Burner,advanced,73.9,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,High-protein grilled chicken with vegetables.,"Periodize training, recover well, and target performance blocks."
15.73,464.19,veg,none,,maintenance,29,beginner,moderate,117.34,1651.84,15,16122.09,21.38,84.89,8,poor,Veggie Brown Rice Plate,Mobility and Core Flow,intermediate,115.37,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
46.65,690.35,veg,egg_allergy,,maintenance,20,beginner,high,48.76,1406.81,18,4473.39,18.77,92.06,6,average,Chickpea Spinach Stir Fry,Express Bodyweight Burner,intermediate,45.79,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,Plant-protein chickpeas with sauteed spinach.,Use progressive overload and mix strength with conditioning.
23.51,790.12,non_veg,soy_allergy,,maintenance,72,intermediate,high,74.31,2100.59,21,13778.86,30.79,67.26,3,average,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,72.26,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
